source_platform,listing_id,title,make,model,year,mileage_km,engine_cc,fuel_type,transmission,body_type,price_jpy,price_usd,cf_price_usd,destination_port,currency,location,listing_url,image_url,is_cleaned,scraped_at
BE FORWARD,CE109405,2019 VOLKSWAGEN GOLF,Volkswagen,Golf,2019.0,6900.0,400.0,Petrol,Automatic,Sedan,2156716.0,14450.0,16305.0,Mombasa,USD,Osaka,https://www.beforward.jp/volkswagen/golf/ce109405/id/15989978/,https://image-cdn.beforward.jp/medium/202607/15989978/CE109405_203c30f2.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE110069,2018 VOLKSWAGEN GOLF TOURAN,Volkswagen,Golf Touran,2018.0,34500.0,400.0,Petrol,Automatic,Van,1992537.0,13350.0,15516.0,Mombasa,USD,Osaka,https://www.beforward.jp/volkswagen/golf-touran/ce110069/id/15990642/,https://image-cdn.beforward.jp/medium/202607/15990642/CE110069_203cc8a0.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE110075,2018 VOLKSWAGEN UP!,Volkswagen,Up!,2018.0,53200.0,0.0,Petrol,Automatic,Sedan,750746.0,5030.0,6590.0,Mombasa,USD,Osaka,https://www.beforward.jp/volkswagen/up-/ce110075/id/15990648/,https://image-cdn.beforward.jp/medium/202607/15990648/CE110075_203cc8f7.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE110076,2019 VOLKSWAGEN GOLF VARIANT,Volkswagen,Golf Variant,2019.0,52400.0,200.0,Petrol,Automatic,Sedan,1328358.0,8900.0,10872.0,Mombasa,USD,Osaka,https://www.beforward.jp/volkswagen/golf-variant/ce110076/id/15990649/,https://image-cdn.beforward.jp/medium/202607/15990649/CE110076_203cc90c.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE110080,2025 VOLKSWAGEN T-CROSS,Volkswagen,T-Cross,2025.0,1900.0,0.0,Petrol,Automatic,Sedan,2734328.0,18320.0,20202.0,Mombasa,USD,Osaka,https://www.beforward.jp/volkswagen/t-cross/ce110080/id/15990653/,https://image-cdn.beforward.jp/medium/202607/15990653/CE110080_203cc96a.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE110081,2025 VOLKSWAGEN T-CROSS,Volkswagen,T-Cross,2025.0,7900.0,0.0,Petrol,Automatic,Sedan,2773134.0,18580.0,20462.0,Mombasa,USD,Osaka,https://www.beforward.jp/volkswagen/t-cross/ce110081/id/15990654/,https://image-cdn.beforward.jp/medium/202607/15990654/CE110081_203cc97f.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE110082,2025 VOLKSWAGEN T-ROC,Volkswagen,T-Roc,2025.0,9200.0,500.0,Petrol,Automatic,Sedan,3119403.0,20900.0,22878.0,Mombasa,USD,Osaka,https://www.beforward.jp/volkswagen/t-roc/ce110082/id/15990655/,https://image-cdn.beforward.jp/medium/202607/15990655/CE110082_203cc994.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE107636,2021 VOLKSWAGEN POLO,Volkswagen,Polo,2021.0,77492.0,500.0,Petrol,Automatic,Sedan,1461194.0,9790.0,11564.0,Mombasa,USD,Yokohama,https://www.beforward.jp/volkswagen/polo/ce107636/id/15988203/,https://image-cdn.beforward.jp/medium/202607/15988203/CE107636_203afdcf.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE107905,2019 VOLKSWAGEN TIGUAN,Volkswagen,Tiguan,2019.0,49059.0,0.0,Petrol,Automatic,Sedan,2649254.0,17750.0,,,USD,Yokohama,https://www.beforward.jp/volkswagen/tiguan/ce107905/id/15988472/,https://image-cdn.beforward.jp/medium/202607/15988472/CE107905_203b278c.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE108061,2020 VOLKSWAGEN T-CROSS,Volkswagen,T-Cross,2020.0,81153.0,0.0,Petrol,Automatic,Sedan,1435821.0,9620.0,,,USD,Kobe,https://www.beforward.jp/volkswagen/t-cross/ce108061/id/15988628/,https://image-cdn.beforward.jp/medium/202607/15988628/CE108061_203b4018.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE106968,2019 VOLKSWAGEN TOUAREG AUTOMATIC DIESEL,Volkswagen,Touareg Automatic Diesel,2019.0,115000.0,0.0,Diesel,Automatic,Sedan,4477612.0,30000.0,32912.0,Mombasa,USD,United Kingdom,https://www.beforward.jp/volkswagen/touareg/ce106968/id/15987532/,https://image-cdn.beforward.jp/medium/202607/15987532/CE106968_203a91a6.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE106969,2019 VOLKSWAGEN TOUAREG AUTOMATIC DIESEL,Volkswagen,Touareg Automatic Diesel,2019.0,60865.0,0.0,Diesel,Automatic,Sedan,5444776.0,36480.0,39392.0,Mombasa,USD,United Kingdom,https://www.beforward.jp/volkswagen/touareg/ce106969/id/15987533/,https://image-cdn.beforward.jp/medium/202607/15987533/CE106969_203a93f0.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE106971,2019 VOLKSWAGEN TOUAREG AUTOMATIC DIESEL,Volkswagen,Touareg Automatic Diesel,2019.0,98153.0,0.0,Diesel,Automatic,Sedan,4982090.0,33380.0,36292.0,Mombasa,USD,United Kingdom,https://www.beforward.jp/volkswagen/touareg/ce106971/id/15987535/,https://image-cdn.beforward.jp/medium/202607/15987535/CE106971_203a941c.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE106501,2019 VOLKSWAGEN GOLF,Volkswagen,Golf,2019.0,56593.0,200.0,Petrol,Automatic,Sedan,1383582.0,9270.0,11255.0,Mombasa,USD,Yokohama,https://www.beforward.jp/volkswagen/golf/ce106501/id/15987062/,https://image-cdn.beforward.jp/medium/202607/15987062/CE106501_203a6ff5.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE106245,2021 VOLKSWAGEN GOLF,Volkswagen,Golf,2021.0,9400.0,0.0,Petrol,Automatic,Sedan,2205970.0,14780.0,16741.0,Mombasa,USD,Kobe,https://www.beforward.jp/volkswagen/golf/ce106245/id/15986803/,https://image-cdn.beforward.jp/medium/202607/15986803/CE106245_203a5572.jpg?w=200,1,2026-07-22 12:48:11.230783
